Class Name, Initialization Kind, Reason for Initialization
com.oracle.svm.core.code.FrameInfoDecoder$ValueInfoAllocator, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.FrameInfoQueryResult, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.FrameInfoQueryResult$$Lambda$756/0x0000000300e34000, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.FrameInfoQueryResult$$Lambda$757/0x0000000300e34240, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.FrameInfoQueryResult$ValueInfo, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.FrameInfoQueryResult$ValueInfo[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.core.code.FrameInfoQueryResult$ValueInfo[][], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.core.code.FrameInfoQueryResult$ValueType, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.FrameInfoQueryResult$ValueType[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.core.code.ImageCodeInfo, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.InstalledCodeObserver, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.InstalledCodeObserver$InstalledCodeObserverHandle, BUILD_TIME, classes annotated with RawStructure are always initialized at image build time
com.oracle.svm.core.code.InstalledCodeObserverSupport, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.IsolateEnterStub, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.IsolateLeaveStub, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.ReusableTypeReader, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.RuntimeCodeCache, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.RuntimeCodeInfoAccess, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.RuntimeCodeInfoAccess$1, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.RuntimeCodeInfoAccess$NonmovableArrayAction, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.RuntimeCodeInfoMemory, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.SimpleCodeInfoQueryResult, BUILD_TIME, classes annotated with RawStructure are always initialized at image build time
com.oracle.svm.core.code.UntetheredCodeInfo, BUILD_TIME, classes annotated with RawStructure are always initialized at image build time
com.oracle.svm.core.code.UntetheredCodeInfoAccess, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.config.ConfigurationValues, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.config.ObjectLayout, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.configure.ConfigurationFile, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.configure.ConfigurationFile[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.core.cpufeature.RuntimeCPUFeatureCheckImpl, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.cpufeature.RuntimeCPUFeatureCheckInitializer, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.deopt.DeoptimizationSupport, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.deopt.DeoptimizedFrame, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.deopt.DeoptimizedFrame$ReserveDeoptScratchSpace, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.deopt.DeoptimizedFrame$ReserveDeoptScratchSpace[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.core.deopt.Deoptimizer, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.AbstractCollectionPolicy, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.AbstractCollectionPolicy$SizeParameters, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.AdaptiveCollectionPolicy, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.AdaptivePaddedAverage, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.AdaptiveWeightedAverage, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.AlignedHeapChunk, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.AlignedHeapChunk$AlignedHeader, BUILD_TIME, classes annotated with RawStructure are always initialized at image build time
com.oracle.svm.core.genscavenge.AuxiliaryImageHeap, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.ChunksAccounting, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.CollectionPolicy, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.GCAccounting, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.GCImpl, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.GCImpl$$Lambda$397/0x0000000300d8dbb8, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.GCImpl$ChunkReleaser, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.GCImpl$CollectionInProgressError, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.GCImpl$CollectionVMOperation, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.GCImpl$CollectionVMOperationData, BUILD_TIME, classes annotated with RawStructure are always initialized at image build time
com.oracle.svm.core.genscavenge.GCImpl$FlushTLABsOperation, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.GenScavengeGCCause, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.Generation, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.GreyObjectsWalker, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.GreyObjectsWalker[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.core.genscavenge.GreyToBlackObjRefVisitor, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.GreyToBlackObjRefVisitor$Counters, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.GreyToBlackObjRefVisitor$NoopCounters, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.GreyToBlackObjectVisitor, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.HeapAccounting, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.HeapChunk, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.HeapChunk$Header, BUILD_TIME, classes annotated with RawStructure are always initialized at image build time
com.oracle.svm.core.genscavenge.HeapChunk$HeaderPadding, BUILD_TIME, classes annotated with RawStructure are always initialized at image build time
com.oracle.svm.core.genscavenge.HeapChunk$HeaderPaddingSizeProvider, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.HeapChunkLogging, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.genscavenge.HeapChunkProvider, BUILD_TIME, Native Image classes are always initialized at build time
