Class Name, Initialization Kind, Reason for Initialization
com.oracle.svm.core.SubstrateDiagnostics$DumpDeoptStubPointer, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpInstructions, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpOtherStackTraces, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpRecentDeoptimizations, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpRegisters, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpRuntimeCodeInfoMemory, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpThreads, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpTopFrame, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpTopOfCurrentThreadStack, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpVMOperationHistory, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$ErrorContext, BUILD_TIME, classes annotated with RawStructure are always initialized at image build time
com.oracle.svm.core.SubstrateDiagnostics$FatalErrorState, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$ImageCodeLocationInfoPrinter, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$Options, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$Options$1, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateGCOptions, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateGCOptions$1, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateGCOptions$2, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateGCOptions$3, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateOptions, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateOptions$11, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateOptions$6, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateOptions$ConcealedOptions, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateSegfaultHandler, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateSegfaultHandler$Options, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateSegfaultHandler$SingleIsolateSegfaultSetup, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateSegfaultHandlerStartupHook, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateTargetDescription, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateUtil, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateUtil$Target_com_oracle_svm_core_SubstrateUtil, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.SubstrateUtil$Target_java_io_FileOutputStream, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.Target_java_io_FilterInputStream, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.Target_java_lang_Terminator, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.Target_sun_security_provider_NativePRNG, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.Target_sun_security_provider_NativePRNG_RandomIO, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.UnmanagedMemoryUtil, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.VMInspectionOptions, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.WeakIdentityHashMap, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.WeakIdentityHashMap$Entry, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.WeakIdentityHashMap$EntryIterator, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.WeakIdentityHashMap$EntrySet, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.WeakIdentityHashMap$EntrySpliterator, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.WeakIdentityHashMap$Entry[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.core.WeakIdentityHashMap$HashIterator, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.WeakIdentityHashMap$KeyIterator, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.WeakIdentityHashMap$KeySet, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.WeakIdentityHashMap$KeySpliterator, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.WeakIdentityHashMap$WeakIdentityHashMapSpliterator, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.aarch64.AArch64CPUFeatureAccess, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.aarch64.AArch64FrameAccess, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.aarch64.AArch64LibCHelper, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.aarch64.AArch64LibCHelper$CPUFeatures, BUILD_TIME, classes annotated with CStruct are always initialized at image build time and classes annotated with CContext are always initialized at image build time
com.oracle.svm.core.aarch64.AArch64LibCHelperDirectives, BUILD_TIME, CContext.Directives must be eagerly initialized
com.oracle.svm.core.allocationprofile.AllocationCounter, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.allocationprofile.AllocationSite, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.allocationprofile.AllocationSite$Options, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.amd64.AMD64LibCHelper$CPUFeatures, BUILD_TIME, classes annotated with CStruct are always initialized at image build time and classes annotated with CContext are always initialized at image build time
com.oracle.svm.core.amd64.AMD64LibCHelperDirectives, BUILD_TIME, CContext.Directives must be eagerly initialized
com.oracle.svm.core.c.BoxedRelocatedPointer, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.CCharPointerHolderImpl, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.CGlobalData, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.CGlobalDataImpl, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.CGlobalDataNonConstantRegistry, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.CHeader, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.CHeader$Header, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.CHeader[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.core.c.CTypeConversionSupportImpl, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.CTypeConversionSupportImpl$1, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.NonmovableArray, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.NonmovableArrays, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.NonmovableObjectArray, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.Target_org_graalvm_nativeimage_c_function_CEntryPointLiteral, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.c.enums.EnumNoLookup, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.enums.EnumRuntimeData, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.function.CEntryPointActions, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.function.CEntryPointBuiltins, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.function.CEntryPointCreateIsolateParameters, BUILD_TIME, classes annotated with CStruct are always initialized at image build time
com.oracle.svm.core.c.function.CEntryPointNativeFunctions, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.function.CEntryPointNativeFunctions$IsolatePointer, BUILD_TIME, classes annotated with CPointerTo are always initialized at image build time
com.oracle.svm.core.c.function.CEntryPointNativeFunctions$IsolateThreadPointer, BUILD_TIME, classes annotated with CPointerTo are always initialized at image build time
com.oracle.svm.core.c.function.CEntryPointOptions, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.function.CEntryPointOptions$Epilogue, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.function.CEntryPointOptions$Prologue, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.function.CEntryPointOptions$PrologueBailout, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.function.CEntryPointOptions$ReturnNullPointer, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.function.CEntryPointOptions[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.core.c.function.CEntryPointSetup, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.function.CEntryPointSetup$EnterPrologue, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.function.CEntryPointSetup$LeaveDetachThreadEpilogue, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.function.CEntryPointSetup$LeaveEpilogue, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.function.CEntryPointSetup$LeaveTearDownIsolateEpilogue, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.c.function.GraalIsolateHeader, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.classinitialization.ClassInitializationInfo, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.classinitialization.ClassInitializationInfo$InitState, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.classinitialization.ClassInitializationInfo$InitState[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.core.classinitialization.EnsureClassInitializedNode, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.classinitialization.EnsureClassInitializedSnippets, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.CodeInfo, BUILD_TIME, classes annotated with RawStructure are always initialized at image build time
com.oracle.svm.core.code.CodeInfoAccess, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.CodeInfoAccess$DummyValueInfoAllocator, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.CodeInfoAccess$FrameInfoState, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.CodeInfoAccess$SingleShotFrameInfoQueryResultAllocator, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.CodeInfoDecoder, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.CodeInfoDecoderCounters, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.CodeInfoImpl, BUILD_TIME, classes annotated with RawStructure are always initialized at image build time
com.oracle.svm.core.code.CodeInfoPointer, BUILD_TIME, classes annotated with RawPointerTo are always initialized at image build time
com.oracle.svm.core.code.CodeInfoQueryResult, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.CodeInfoTable, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.CodeInfoTableCounters, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.CodeInfoTether, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.FactoryMethodHolder, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.FactoryMethodMarker, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.FactoryMethodMarker[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.core.code.FactoryThrowMethodHolder, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.FrameInfoDecoder, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.FrameInfoDecoder$1, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.FrameInfoDecoder$CompressedFrameDecoderHelper, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.FrameInfoDecoder$FrameInfoQueryResultAllocator, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.FrameInfoDecoder$HeapBasedFrameInfoQueryResultAllocator, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.code.FrameInfoDecoder$HeapBasedValueInfoAllocator, BUILD_TIME, Native Image classes are always initialized at build time
